filename,polygon,zip_url
AS63.zip,"50.1961 12.2725 50.1961 12.3116 50.2175 12.3116 50.2175 12.2725 50.1961 12.2725",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS63.zip
AS65.zip,"50.1606 12.2817 50.1606 12.3208 50.182 12.3208 50.182 12.2817 50.1606 12.2817",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS65.zip
AS67.zip,"50.1251 12.2909 50.1251 12.33 50.1466 12.33 50.1466 12.2909 50.1251 12.2909",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS67.zip
AS68.zip,"50.1074 12.2955 50.1074 12.3346 50.1288 12.3346 50.1288 12.2955 50.1074 12.2955",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS68.zip
AS70.zip,"50.2456 12.224 50.2456 12.2632 50.267 12.2632 50.267 12.224 50.2456 12.224",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS70.zip
AS72.zip,"50.2101 12.2333 50.2101 12.2725 50.2316 12.2725 50.2316 12.2333 50.2101 12.2333",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS72.zip
AS73.zip,"50.1924 12.2379 50.1924 12.2771 50.2138 12.2771 50.2138 12.2379 50.1924 12.2379",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS73.zip
AS75.zip,"50.1569 12.2472 50.1569 12.2863 50.1783 12.2863 50.1783 12.2472 50.1569 12.2472",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS75.zip
AS77.zip,"50.1214 12.2564 50.1214 12.2955 50.1429 12.2955 50.1429 12.2564 50.1214 12.2564",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS77.zip
AS78.zip,"50.1037 12.261 50.1037 12.3001 50.1251 12.3001 50.1251 12.261 50.1037 12.261",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS78.zip
BENE06.zip,"49.8299 14.6871 49.8299 14.7252 49.8507 14.7252 49.8507 14.6871 49.8299 14.6871",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE06.zip
BENE07.zip,"49.8121 14.6908 49.8121 14.7289 49.8329 14.7289 49.8329 14.6908 49.8121 14.6908",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE07.zip
BENE08.zip,"49.7943 14.6945 49.7943 14.7326 49.8151 14.7326 49.8151 14.6945 49.7943 14.6945",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE08.zip
AS28.zip,"50.1221 12.4335 50.1221 12.4726 50.1435 12.4726 50.1435 12.4335 50.1221 12.4335",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS28.zip
AS29.zip,"50.1044 12.4381 50.1044 12.4771 50.1258 12.4771 50.1258 12.4381 50.1044 12.4381",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS29.zip
AS30.zip,"50.2604 12.3624 50.2604 12.4016 50.2818 12.4016 50.2818 12.3624 50.2604 12.3624",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS30.zip
AS32.zip,"50.2249 12.3716 50.2249 12.4107 50.2463 12.4107 50.2463 12.3716 50.2249 12.3716",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS32.zip
AS33.zip,"50.2071 12.3762 50.2071 12.4153 50.2286 12.4153 50.2286 12.3762 50.2071 12.3762",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS33.zip
AS35.zip,"50.1717 12.3853 50.1717 12.4244 50.1931 12.4244 50.1931 12.3853 50.1717 12.3853",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS35.zip
AS37.zip,"50.1362 12.3944 50.1362 12.4335 50.1576 12.4335 50.1576 12.3944 50.1362 12.3944",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS37.zip
AS38.zip,"50.1184 12.399 50.1184 12.4381 50.1398 12.4381 50.1398 12.399 50.1184 12.399",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS38.zip
AS40.zip,"50.2567 12.3278 50.2567 12.367 50.2781 12.367 50.2781 12.3278 50.2567 12.3278",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS40.zip
AS42.zip,"50.2212 12.337 50.2212 12.3762 50.2426 12.3762 50.2426 12.337 50.2212 12.337",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS42.zip
AS44.zip,"50.1857 12.3462 50.1857 12.3853 50.2071 12.3853 50.2071 12.3462 50.1857 12.3462",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS44.zip
AS45.zip,"50.168 12.3508 50.168 12.3899 50.1894 12.3899 50.1894 12.3508 50.168 12.3508",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS45.zip
AS47.zip,"50.1325 12.3599 50.1325 12.399 50.1539 12.399 50.1539 12.3599 50.1325 12.3599",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS47.zip
AS49.zip,"50.097 12.3691 50.097 12.4081 50.1184 12.4081 50.1184 12.3691 50.097 12.3691",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS49.zip
AS51.zip,"50.2353 12.2978 50.2353 12.337 50.2567 12.337 50.2567 12.2978 50.2353 12.2978",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS51.zip
AS53.zip,"50.1998 12.307 50.1998 12.3462 50.2212 12.3462 50.2212 12.307 50.1998 12.307",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS53.zip
AS54.zip,"50.182 12.3116 50.182 12.3508 50.2035 12.3508 50.2035 12.3116 50.182 12.3116",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS54.zip
AS55.zip,"50.1643 12.3162 50.1643 12.3554 50.1857 12.3554 50.1857 12.3162 50.1643 12.3162",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS55.zip
AS56.zip,"50.1466 12.3208 50.1466 12.3599 50.168 12.3599 50.168 12.3208 50.1466 12.3208",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS56.zip
AS57.zip,"50.1288 12.3254 50.1288 12.3645 50.1503 12.3645 50.1503 12.3254 50.1288 12.3254",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS57.zip
AS58.zip,"50.1111 12.33 50.1111 12.3691 50.1325 12.3691 50.1325 12.33 50.1111 12.33",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS58.zip
AS60.zip,"50.2493 12.2586 50.2493 12.2978 50.2707 12.2978 50.2707 12.2586 50.2493 12.2586",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS60.zip
AS61.zip,"50.2316 12.2632 50.2316 12.3024 50.253 12.3024 50.253 12.2632 50.2316 12.2632",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS61.zip
BLAN14.zip,"49.3086 16.8376 49.3086 16.8746 49.3288 16.8746 49.3288 16.8376 49.3086 16.8376",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN14.zip
BLAN15.zip,"49.2907 16.8404 49.2907 16.8775 49.3109 16.8775 49.3109 16.8404 49.2907 16.8404",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN15.zip
BLAN17.zip,"49.2549 16.8462 49.2549 16.8832 49.2751 16.8832 49.2751 16.8462 49.2549 16.8462",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN17.zip
BLAN19.zip,"49.2191 16.8519 49.2191 16.8889 49.2394 16.8889 49.2394 16.8519 49.2191 16.8519",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN19.zip
BLAN20.zip,"49.3778 16.7918 49.3778 16.8289 49.398 16.8289 49.398 16.7918 49.3778 16.7918",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN20.zip
BLAN22.zip,"49.342 16.7976 49.342 16.8347 49.3622 16.8347 49.3622 16.7976 49.342 16.7976",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN22.zip
BLAN24.zip,"49.3062 16.8034 49.3062 16.8404 49.3264 16.8404 49.3264 16.8034 49.3062 16.8034",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN24.zip
BLAN25.zip,"49.2883 16.8062 49.2883 16.8433 49.3086 16.8433 49.3086 16.8062 49.2883 16.8062",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN25.zip
BLAN26.zip,"49.2704 16.8091 49.2704 16.8462 49.2907 16.8462 49.2907 16.8091 49.2704 16.8091",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN26.zip
BLAN27.zip,"49.2526 16.812 49.2526 16.849 49.2728 16.849 49.2728 16.812 49.2526 16.812",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN27.zip
BLAN28.zip,"49.2347 16.8149 49.2347 16.8519 49.2549 16.8519 49.2549 16.8149 49.2347 16.8149",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN28.zip
BLAN29.zip,"49.2168 16.8178 49.2168 16.8548 49.237 16.8548 49.237 16.8178 49.2168 16.8178",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN29.zip
BLAN30.zip,"49.3754 16.7575 49.3754 16.7947 49.3956 16.7947 49.3956 16.7575 49.3754 16.7575",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN30.zip
BILO82.zip,"49.7746 17.9133 49.7746 17.9504 49.7945 17.9504 49.7945 17.9133 49.7746 17.9133",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO82.zip
BILO84.zip,"49.7387 17.9183 49.7387 17.9554 49.7587 17.9554 49.7587 17.9183 49.7387 17.9183",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO84.zip
BILO86.zip,"49.7029 17.9233 49.7029 17.9603 49.7229 17.9603 49.7229 17.9233 49.7029 17.9233",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO86.zip
BILO87.zip,"49.685 17.9258 49.685 17.9628 49.7049 17.9628 49.7049 17.9258 49.685 17.9258",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO87.zip
BILO89.zip,"49.6492 17.9308 49.6492 17.9678 49.6691 17.9678 49.6691 17.9308 49.6492 17.9308",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO89.zip
BILO91.zip,"49.7904 17.8762 49.7904 17.9133 49.8104 17.9133 49.8104 17.8762 49.7904 17.8762",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO91.zip
BILO92.zip,"49.7725 17.8787 49.7725 17.9158 49.7925 17.9158 49.7925 17.8787 49.7725 17.8787",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO92.zip
BILO94.zip,"49.7367 17.8838 49.7367 17.9208 49.7567 17.9208 49.7567 17.8838 49.7367 17.8838",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO94.zip
BILO96.zip,"49.7009 17.8888 49.7009 17.9258 49.7208 17.9258 49.7208 17.8888 49.7009 17.8888",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO96.zip
BILO97.zip,"49.683 17.8913 49.683 17.9283 49.7029 17.9283 49.7029 17.8913 49.683 17.8913",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO97.zip
BILO99.zip,"49.6472 17.8963 49.6472 17.9333 49.6671 17.9333 49.6671 17.8963 49.6472 17.8963",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BILO99.zip
BLAN01.zip,"49.3646 16.8632 49.3646 16.9003 49.3848 16.9003 49.3848 16.8632 49.3646 16.8632",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BLAN01.zip
